sentence,num_tokens,num_characters,token_char_ratio
"['41\tWährend der langen Wintermonate verbringen viele deutsche Familien ihre Wochenenden in den Alpen, wo sie Skifahren, Snowboarden und andere Wintersportarten genießen, während sie die majestätische Berglandschaft und die frische Bergluft bewundern.']",57,1,57.0
"['42\tDie mittelalterliche Burg, die majestätisch auf einem Hügel über dem Dorf thront, wurde im dreizehnten Jahrhundert erbaut und dient heute als Museum, das Besuchern einen faszinierenden Einblick in das Leben und die Kultur des Mittelalters bietet.']",54,1,54.0
"['43\tDeutsche Ingenieure sind weltweit bekannt für ihre Präzision, Innovation und technische Exzellenz, die sich in der Automobilindustrie, im Maschinenbau und in vielen anderen Bereichen der modernen Technologie manifestiert.']",44,1,44.0
"['44\tJeden Morgen öffnet die kleine Bäckerei im Stadtzentrum ihre Türen und bietet eine verlockende Auswahl an frisch gebackenem Brot, knusprigen Brötchen, süßen Kuchen und traditionellen deutschen Backwaren, die nach alten Familienrezepten hergestellt werden.']",64,1,64.0
"['45\tDie Universitätsbibliothek beherbergt eine umfangreiche Sammlung akademischer Werke, seltener Manuskripte und historischer Dokumente, die Studenten und Forschern aus verschiedenen Disziplinen zur Verfügung stehen und wertvolle Ressourcen für wissenschaftliche Arbeiten darstellen.']",56,1,56.0
"['46\tIm Herbst verwandeln sich die deutschen Wälder in ein spektakuläres Farbenmeer, wenn die Blätter der Bäume leuchtende Gelb-, Orange- und Rottöne annehmen und Wanderer aus nah und fern anziehen, die diese natürliche Schönheit erleben möchten.']",66,1,66.0
"['47\tDer berühmte Komponist verbrachte Jahre damit, seine größte Symphonie zu komponieren, wobei er klassische Musiktraditionen mit innovativen harmonischen Experimenten verband und ein Meisterwerk schuf, das noch heute in Konzerthallen auf der ganzen Welt aufgeführt wird.']",55,1,55.0
"['48\tDie Wissenschaftlerin präsentierte ihre bahnbrechende Forschung über erneuerbare Energien auf einer internationalen Konferenz, wo ihre Erkenntnisse großes Interesse weckten und möglicherweise zur Entwicklung nachhaltigerer Energielösungen für die Zukunft beitragen könnten.']",54,1,54.0
"['49\tWährend des traditionellen Oktoberfestes in München versammeln sich Millionen von Besuchern aus aller Welt, um bayerische Kultur zu feiern, traditionelle Trachten zu tragen, regionale Spezialitäten zu genießen und an den festlichen Aktivitäten teilzunehmen.']",54,1,54.0
"['50\tDer alte Buchhändler kannte jedes Buch in seinem gemütlichen Laden auswendig und konnte seinen Kunden immer die perfekte Lektüre empfehlen, basierend auf ihren individuellen Interessen, Vorlieben und ihrer aktuellen Stimmung.']",55,1,55.0
